solver,activation,H1,H2,PCA,class,Tr,Ts
sgd, tanh,25,30, off, class3,0.825740319,0.631818182
sgd, tanh,25,30, off, class4,0.809225513,0.522727273
sgd, tanh,30,30, on, class1,0.907744875,0.913636364
sgd, tanh,30,30, on, class2,0.913439636,0.759090909
sgd, tanh,30,30, on, class3,0.86047836,0.618181818
sgd, tanh,30,30, on, class4,0.825170843,0.563636364
sgd, tanh,30,30, off, class1,0.907744875,0.913636364
sgd, tanh,30,30, off, class2,0.926537585,0.797727273
sgd, tanh,30,30, off, class3,0.839977221,0.647727273
sgd, tanh,30,30, off, class4,0.838268793,0.565909091
sgd, tanh,40,30, on, class1,0.912870159,0.893181818
sgd, tanh,40,30, on, class2,0.910592255,0.779545455
sgd, tanh,40,30, on, class3,0.869020501,0.677272727
sgd, tanh,40,30, on, class4,0.879271071,0.525
sgd, tanh,40,30, off, class1,0.909453303,0.906818182
sgd, tanh,40,30, off, class2,0.921412301,0.781818182
sgd, tanh,40,30, off, class3,0.87357631,0.65
sgd, tanh,40,30, off, class4,0.87357631,0.543181818
sgd, relu,15,30, on, class1,0.904328018,0.927272727
sgd, relu,15,30, on, class2,0.86047836,0.777272727
sgd, relu,15,30, on, class3,0.780751708,0.602272727
sgd, relu,15,30, on, class4,0.712984055,0.470454545
sgd, relu,15,30, off, class1,0.912870159,0.922727273
sgd, relu,15,30, off, class2,0.867312073,0.747727273
sgd, relu,15,30, off, class3,0.778473804,0.631818182
sgd, relu,15,30, off, class4,0.706150342,0.522727273
sgd, relu,25,30, on, class1,0.927107062,0.922727273
sgd, relu,25,30, on, class2,0.909453303,0.75
sgd, relu,25,30, on, class3,0.857061503,0.604545455
sgd, relu,25,30, on, class4,0.797835991,0.554545455
sgd, relu,25,30, off, class1,0.933371298,0.913636364
sgd, relu,25,30, off, class2,0.913439636,0.8
sgd, relu,25,30, off, class3,0.829157175,0.654545455
sgd, relu,25,30, off, class4,0.794419134,0.55
sgd, relu,30,30, on, class1,0.928246014,0.943181818
sgd, relu,30,30, on, class2,0.919134396,0.761363636
sgd, relu,30,30, on, class3,0.883826879,0.609090909
sgd, relu,30,30, on, class4,0.812072893,0.568181818
sgd, relu,30,30, off, class1,0.942482916,0.911363636
